epoch: 60/300, train_loss: 0.0873, train_acc: 0.9792, test_loss: 2.0689, test_acc: 0.7667 
epoch: 61/300, train_loss: 0.2319, train_acc: 0.9271, test_loss: 8.2311, test_acc: 0.7375 
epoch: 62/300, train_loss: 0.0909, train_acc: 0.9635, test_loss: 8.1106, test_acc: 0.7667 
epoch: 63/300, train_loss: 0.0983, train_acc: 0.9635, test_loss: 7.4361, test_acc: 0.7500 
epoch: 64/300, train_loss: 0.1077, train_acc: 0.9635, test_loss: 1.0947, test_acc: 0.8042 
epoch: 65/300, train_loss: 0.0952, train_acc: 0.9740, test_loss: 1.5017, test_acc: 0.7833 
epoch: 66/300, train_loss: 0.1286, train_acc: 0.9688, test_loss: 1.1769, test_acc: 0.8042 
epoch: 67/300, train_loss: 0.0734, train_acc: 0.9583, test_loss: 1.0110, test_acc: 0.8000 
epoch: 68/300, train_loss: 0.1758, train_acc: 0.9323, test_loss: 0.9380, test_acc: 0.8042 
epoch: 69/300, train_loss: 0.1337, train_acc: 0.9531, test_loss: 1.0093, test_acc: 0.8083 
epoch: 70/300, train_loss: 0.1398, train_acc: 0.9583, test_loss: 2.0876, test_acc: 0.7833 
epoch: 71/300, train_loss: 0.0931, train_acc: 0.9688, test_loss: 5.2505, test_acc: 0.7667 
epoch: 72/300, train_loss: 0.0896, train_acc: 0.9688, test_loss: 2.1997, test_acc: 0.7750 
epoch: 73/300, train_loss: 0.0705, train_acc: 0.9792, test_loss: 2.8799, test_acc: 0.7667 
epoch: 74/300, train_loss: 0.1141, train_acc: 0.9479, test_loss: 6.2095, test_acc: 0.7500 
epoch: 75/300, train_loss: 0.1223, train_acc: 0.9531, test_loss: 1.0592, test_acc: 0.7792 
epoch: 76/300, train_loss: 0.0770, train_acc: 0.9844, test_loss: 0.5814, test_acc: 0.8125 
epoch: 77/300, train_loss: 0.0716, train_acc: 0.9844, test_loss: 0.7436, test_acc: 0.7917 
epoch: 78/300, train_loss: 0.0881, train_acc: 0.9635, test_loss: 0.6766, test_acc: 0.7958 
epoch: 79/300, train_loss: 0.1196, train_acc: 0.9479, test_loss: 0.5831, test_acc: 0.8125 
epoch: 80/300, train_loss: 0.1004, train_acc: 0.9740, test_loss: 1.1624, test_acc: 0.7875 
epoch: 81/300, train_loss: 0.0949, train_acc: 0.9635, test_loss: 4.8993, test_acc: 0.7625 
epoch: 82/300, train_loss: 0.0664, train_acc: 0.9740, test_loss: 3.5291, test_acc: 0.7708 
epoch: 83/300, train_loss: 0.0925, train_acc: 0.9792, test_loss: 0.7690, test_acc: 0.8167 
epoch: 84/300, train_loss: 0.1021, train_acc: 0.9583, test_loss: 0.8475, test_acc: 0.8000 
epoch: 85/300, train_loss: 0.0999, train_acc: 0.9688, test_loss: 0.8668, test_acc: 0.8083 
epoch: 86/300, train_loss: 0.1124, train_acc: 0.9583, test_loss: 1.3338, test_acc: 0.8000 
epoch: 87/300, train_loss: 0.0761, train_acc: 0.9792, test_loss: 3.4287, test_acc: 0.7667 
epoch: 88/300, train_loss: 0.1085, train_acc: 0.9635, test_loss: 4.9387, test_acc: 0.7708 
epoch: 89/300, train_loss: 0.1073, train_acc: 0.9740, test_loss: 0.9599, test_acc: 0.8250 
epoch: 90/300, train_loss: 0.0982, train_acc: 0.9531, test_loss: 2.5667, test_acc: 0.7750 
epoch: 91/300, train_loss: 0.1383, train_acc: 0.9479, test_loss: 0.7680, test_acc: 0.8125 
epoch: 92/300, train_loss: 0.0975, train_acc: 0.9479, test_loss: 1.6745, test_acc: 0.7875 
epoch: 93/300, train_loss: 0.0988, train_acc: 0.9740, test_loss: 0.8903, test_acc: 0.8083 
epoch: 94/300, train_loss: 0.1064, train_acc: 0.9583, test_loss: 2.1032, test_acc: 0.7833 
epoch: 95/300, train_loss: 0.0787, train_acc: 0.9635, test_loss: 0.8402, test_acc: 0.8083 
epoch: 96/300, train_loss: 0.0663, train_acc: 0.9896, test_loss: 1.4571, test_acc: 0.7875 
epoch: 97/300, train_loss: 0.1065, train_acc: 0.9531, test_loss: 1.0825, test_acc: 0.7667 
epoch: 98/300, train_loss: 0.1123, train_acc: 0.9375, test_loss: 1.1684, test_acc: 0.7917 
epoch: 99/300, train_loss: 0.0617, train_acc: 0.9740, test_loss: 0.8336, test_acc: 0.8208 
epoch: 100/300, train_loss: 0.0686, train_acc: 0.9740, test_loss: 0.6928, test_acc: 0.8083 
epoch: 101/300, train_loss: 0.0624, train_acc: 0.9896, test_loss: 1.5756, test_acc: 0.7917 
epoch: 102/300, train_loss: 0.1009, train_acc: 0.9688, test_loss: 0.7229, test_acc: 0.8000 
epoch: 103/300, train_loss: 0.0982, train_acc: 0.9583, test_loss: 0.9448, test_acc: 0.7875 
epoch: 104/300, train_loss: 0.0964, train_acc: 0.9688, test_loss: 0.5905, test_acc: 0.8083 
epoch: 105/300, train_loss: 0.0812, train_acc: 0.9740, test_loss: 0.5184, test_acc: 0.8333 
epoch: 106/300, train_loss: 0.0954, train_acc: 0.9688, test_loss: 0.6942, test_acc: 0.8083 
epoch: 107/300, train_loss: 0.0715, train_acc: 0.9740, test_loss: 3.8302, test_acc: 0.7667 
epoch: 108/300, train_loss: 0.0631, train_acc: 0.9740, test_loss: 1.0225, test_acc: 0.7958 
epoch: 109/300, train_loss: 0.0870, train_acc: 0.9688, test_loss: 5.2016, test_acc: 0.7250 
epoch: 110/300, train_loss: 0.0838, train_acc: 0.9740, test_loss: 9.3126, test_acc: 0.7458 
epoch: 111/300, train_loss: 0.1153, train_acc: 0.9635, test_loss: 0.7633, test_acc: 0.8000 
epoch: 112/300, train_loss: 0.0709, train_acc: 0.9740, test_loss: 0.9602, test_acc: 0.7917 
epoch: 113/300, train_loss: 0.0776, train_acc: 0.9792, test_loss: 6.1379, test_acc: 0.7583 
epoch: 114/300, train_loss: 0.0559, train_acc: 0.9844, test_loss: 1.4404, test_acc: 0.7792 
epoch: 115/300, train_loss: 0.0892, train_acc: 0.9688, test_loss: 2.5121, test_acc: 0.7792 
epoch: 116/300, train_loss: 0.0945, train_acc: 0.9740, test_loss: 4.5921, test_acc: 0.7375 
epoch: 117/300, train_loss: 0.0977, train_acc: 0.9688, test_loss: 5.1886, test_acc: 0.7625 
epoch: 118/300, train_loss: 0.1289, train_acc: 0.9271, test_loss: 0.9013, test_acc: 0.7875 
epoch: 119/300, train_loss: 0.0785, train_acc: 0.9583, test_loss: 0.8259, test_acc: 0.8125 
epoch: 120/300, train_loss: 0.0792, train_acc: 0.9740, test_loss: 2.3939, test_acc: 0.7625 
epoch: 121/300, train_loss: 0.0894, train_acc: 0.9740, test_loss: 1.0661, test_acc: 0.8000 
epoch: 122/300, train_loss: 0.0969, train_acc: 0.9688, test_loss: 3.5357, test_acc: 0.7667 
epoch: 123/300, train_loss: 0.1316, train_acc: 0.9531, test_loss: 1.6179, test_acc: 0.7917 
epoch: 124/300, train_loss: 0.0809, train_acc: 0.9740, test_loss: 0.7689, test_acc: 0.8208 
